1687246101,65432109876,Ivana Marija,Peric,2,2,7,1,4,14
1687188290,09876543210,Ivo,Ivic,2,2,4,0,4,10
1687180036,11111111111,Mitar,Milic,2,2,2,0,4,8
1687187840,43210987654,Pero,Majski Gorski,2,2,1,0,3,6
1687249248,32109876543,Maja,Majic-Radic,1,1,5,0,1,8
1687251746,98765432109,Luna,Lunar,2,2,2,0,4,8
1687252490,23456789012,Dora,Pejacevic,0,0,4,0,5,11
1687253678,12345678901,Nikola,Subic-Zrinski,2,2,2,0,3,7
1687264221,34567890123,Mario,Milic,2,2,2,0,6,10
1687265205,11112222333,Fran Krsto,Frankopan,1,0,2,0,5,8
1687265315,11133344422,Oliver,Dragojevic,2,2,1,0,3,6
1687265344,22233344411,Nina,Badric,2,2,0,0,2,4
1687265376,22233366655,Petar,Graso,2,1,1,0,4,6
1687265407,33322211144,Stjepan,Radic,2,2,3,0,5,10
1687265440,44411122255,Ivan Pavao,Stjepic,2,2,0,0,3,5
1687265500,66622255510,Jagoda,Truhelka,2,0,5,0,5,10
1687265549,44433311122,Ivan,Grozni,2,2,2,0,6,10
1687266441,55577788844,Ivo,Robic,2,1,5,0,6,12
1687266488,66622211144,Tomislav,Ivcic,2,2,2,0,3,7
1687266518,44466611122,Tereza,Kesovija,2,1,1,1,4,7
1687266558,33355511166,Josipa,Lisac,2,0,2,0,3,5
1687266592,33366655522,Kemal,Monteno,0,0,1,0,3,6
1687266676,55522233311,Luka,Modric,2,2,4,0,6,12
1687266713,44422211155,Ivan,Rakitic,2,2,6,0,6,14
1687266748,66688844422,Ivan,Perisic,2,2,7,0,6,15
1687266787,77755544422,Davor,Suker,2,2,8,0,5,15
1687266826,88866655533,Miroslav,Krleza,2,2,9,0,5,16
1687266873,99944433355,Franjo,Krezma,2,2,9,0,6,17
1687266935,77766611155,Wolfgang Amadeus,Mozzart,2,2,11,0,6,19
1687267019,99933344455,Johann Sebastian,Bach,2,2,12,1,6,21
1687267070,88844422266,Ludwig,van Beethoven,2,2,15,1,5,23
1687267122,88822244466,Marie,Curie,2,1,5,0,3,9
1687267170,77755533311,Nikola,Tesla,2,1,0,0,6,7
1687267201,55599977733,Josip Juraj,Strossmayer,2,2,1,0,5,8
1687267280,44499911133,Ivan Kapistran,Adamovic,2,0,7,0,6,13
1687267361,44488822266,Nenad,Bjelica,2,2,1,0,4,7
1687267408,55588822255,Dobrisa,Cesaric,2,2,12,0,3,17
1687267437,99933366699,Franjo,Kuhac,2,2,2,0,4,8
1687267510,77711144477,Oliver,Mlakar,1,1,3,0,5,10
1687267547,55544466655,Tomislav,Rukavina,1,1,7,1,5,15
1687267599,11133322211,Lavoslav,Ruzicka,0,0,5,0,3,10
1687267632,88844488844,Vera,Svoboda,2,2,1,0,5,8
1687267676,77755533377,Adolf,Waldinger,2,1,6,0,3,10
1687267717,11199955511,Ivana,Vukovic,2,2,3,0,3,8
